,term,TF-IDF
350,91rita,0.0
351,91winnie,0.0
352,9257,0.0
353,930,0.0
354,934,0.0
355,96dominic,0.0
356,979,0.0
357,99international,0.0
358,aa,0.0
359,aacsb,0.0
360,abbreviation,0.0
361,abdominal,0.0
362,abenaki,0.0
363,abilities,0.0
364,ability,0.0
365,able,0.0
366,abm,0.0
367,abnormal,0.0
368,about,0.03473703165384455
369,above,0.0
370,abroad,0.025519610248581775
371,abroadget,0.0
372,absence,0.0
373,absences,0.0
374,academic,0.07173280531675734
375,academics,0.023058368284599944
376,academy,0.0
377,accelerate,0.0
378,accelerated,0.0
379,accent,0.0
380,accept,0.006443785885645781
381,acceptability,0.0
382,acceptable,0.0
383,acceptance,0.0
384,accepted,0.0
385,accepts,0.0
386,access,0.0
387,accessed,0.0
388,accessibility,0.011456339775625341
389,accessible,0.0
390,accessing,0.0
391,accessmedical,0.0
392,accessories,0.0
393,accesspublished,0.0
394,accolades,0.0
395,accommodate,0.0
396,accommodating,0.0
397,accommodation,0.0
398,accommodations,0.0
399,accommodationsdef,0.0
400,accomodations,0.0
401,accompanied,0.0
402,accomplish,0.0
403,accomplishment,0.0
404,accomplishments,0.0
405,accordance,0.0
406,according,0.0
407,accordingly,0.0
408,account,0.0
409,accountability,0.0
410,accountable,0.0
411,accountancy,0.0
412,accountancyadministration,0.0
413,accountancygdba,0.0
414,accounting,0.0
415,accounts,0.0
416,accreditation,0.0
417,accreditations,0.0
418,accredited,0.0
419,accurate,0.0
420,acfas,0.0
421,achieve,0.0
422,achievements,0.0
423,achieving,0.0
424,acknowledge,0.0
425,acquire,0.0
426,acquired,0.0
427,acquisition,0.0
428,acquisitions,0.0
429,across,0.0
430,acsd,0.0
431,act,0.022819687951074297
432,action,0.0
433,actions,0.0
434,activate,0.0
435,activated,0.0
436,active,0.0
437,actively,0.0
438,activism,0.0
439,activities,0.0
440,activitiesthe,0.0
441,activity,0.017266545108442964
442,acts,0.0
443,actual,0.0
444,actually,0.0
445,acumen,0.0
446,acutely,0.0
447,ad,0.0
448,adams,0.0
449,adapt,0.0
450,adaptation,0.0
451,adapting,0.0
452,add,0.0
453,added,0.0
454,addiction,0.0
455,adding,0.0
456,addition,0.0
457,additional,0.0
458,address,0.02912623018579442
459,addressed,0.0
460,addresses,0.0
461,addressing,0.0
462,adds,0.0
463,adeela,0.0
464,adhere,0.0
465,adjusting,0.0
466,adjuvanted,0.0
467,administered,0.0
468,administration,0.032738262618956085
469,administrationgcba,0.0
470,administrationgcqbs,0.0
471,administrationstaff,0.0
472,administrative,0.019014684159381456
473,administrator,0.0
474,administratorlinda,0.0
475,administrators,0.02662469174276713
476,admission,0.0
477,admissions,0.03674101582010606
478,admitted,0.0
479,adoptions,0.0
480,adult,0.0
481,adults,0.0
482,advance,0.0
483,advanced,0.0
484,advancement,0.0
485,advances,0.0
486,advancing,0.0
487,advantage,0.0
488,advice,0.0
489,adviceanxiety,0.0
490,advicewhere,0.0
491,advise,0.0
492,advised,0.0
493,advisers,0.0
494,advising,0.0
495,advisingcourse,0.0
496,advisinggraduate,0.0
497,advisor,0.0
498,advisories,0.0
499,advisors,0.0
500,advocacy,0.0
501,aerobics,0.0
502,aerospace,0.019014684159381456
503,aesthetic,0.0
504,afe,0.0
505,affairs,0.0
506,affairsthesis,0.0
507,affect,0.0
508,affected,0.0
509,affecting,0.0
510,affiliate,0.0
511,affiliation,0.0
512,affordable,0.0
513,afloat,0.0
514,africa,0.0
515,after,0.0
516,afternoon,0.0
517,afterwards,0.0
518,again,0.0
519,against,0.0
520,age,0.0
521,ageism,0.0
522,ageist,0.0
523,agencies,0.03557949307536518
524,agency,0.0
525,agendas,0.0
526,agent,0.0
527,agents,0.0
528,ages,0.0
529,aggregating,0.0
530,aging,0.0
531,ago,0.0
532,agree,0.0
533,agreed,0.0
534,agreement,0.0
535,agreements,0.0
536,agreementswe,0.0
537,agriculture,0.0
538,ahead,0.0
539,aheadconcordia,0.0
540,ai,0.020593903417832172
541,aid,0.011235756783508003
542,aida,0.0
543,aide,0.0
544,aim,0.0
545,aims,0.0
546,aircraft,0.0
547,aircrafts,0.0
548,airport,0.0
549,ait,0.0
550,ajima,0.0
551,alan,0.0
552,alarm,0.0
553,alaska,0.0
554,alberta,0.0
555,alcohol,0.0
556,alert,0.0
557,alerting,0.0
558,alerts,0.0
559,alertus,0.0
560,alex,0.0
561,alexander,0.0
562,alexandra,0.0
563,algol,0.0
564,algorithms,0.0
565,aligned,0.024398907209525006
566,alike,0.0
567,all,0.06646132592015742
568,allocation,0.0
569,allow,0.0
570,allowed,0.0
571,allows,0.0
572,allresources,0.0
573,alone,0.0
574,along,0.0
575,alongside,0.0
576,alphabetical,0.0
577,already,0.0
578,also,0.034736879365941734
579,alter,0.0
580,alternate,0.0
581,alternatively,0.0
582,although,0.0
583,altitude,0.0
584,alumna,0.0
585,alumni,0.024690585303974284
586,alumni2020,0.0
587,alumnus,0.0
588,always,0.0
589,am,0.0
590,amazing,0.0
591,ambassadors,0.0
592,ambition,0.0
593,amend,0.0
594,amendment,0.0
595,america,0.0
596,american,0.0
597,among,0.0
598,amongst,0.0
599,amount,0.0
600,amy,0.0
601,an,0.031095823987817628
602,ana,0.0
603,anais,0.0
604,analysis,0.0
605,analytical,0.006443785885645781
606,analytics,0.0
607,analyze,0.0
